0,1,2,3,4,5,6,7,8,9,10,11,12,label
-363.62238,124.459045,28.206173,11.618317,-7.071627,1.152634,0.3165252,7.3262753,1.948682,1.9078771,-2.6144717,7.1621146,8.9877,gunshot
-115.720024,45.360714,-24.256754,-1.8634336,-14.219776,12.41934,3.9352536,11.490651,-2.8724036,9.035906,2.2672544,6.6999235,0.115921974,gunshot
-163.64735,78.20801,-19.989431,14.880403,-8.345014,3.9210458,-2.944232,8.500882,-0.7877788,7.4829226,-0.3531602,-1.3732744,-3.8495243,gunshot
-258.74734,72.87283,-11.421236,11.921156,5.3713064,7.3639145,6.4530544,6.400661,2.6665413,4.990776,0.23071243,4.701339,2.9735386,gunshot
-200.58461,140.13937,-63.693893,-21.97726,-33.90432,-13.195139,-12.896892,-0.548638,-4.663857,-3.87655,-8.660523,-1.980173,-9.63533,gunshot
-332.6716,59.62173,-12.888286,44.782024,9.056966,19.462423,4.846283,6.2744923,0.955142,1.7866863,-3.356632,-1.5646592,-2.5939877,gunshot
-78.29323,72.90449,-12.604087,29.95935,1.0104737,6.3018284,-5.66778,4.0019803,-5.066653,3.517562,-2.4812925,4.2620206,-3.2075806,gunshot
-153.68652,69.235374,-5.280322,29.198025,3.9741118,8.4651985,-3.2818892,5.4888988,-3.9061742,6.095068,0.7413732,3.786239,-3.0037503,gunshot
-137.83194,72.256935,-9.2686,27.345388,2.123466,7.5482817,-3.681165,4.9028697,-4.7692957,6.5007935,-0.18292563,4.5697093,-3.1410162,gunshot
-1.5356857,133.1448,-36.427383,2.5035527,-24.337961,-10.4269705,-12.061217,-2.6475801,-14.052575,-6.91614,-9.551506,0.23609634,-8.357215,gunshot
8.303886,117.896835,-41.38972,-1.0505811,-16.438082,-3.5589216,-13.783675,-7.808292,-10.737182,-3.5944138,-9.565356,0.12915125,-8.046813,gunshot
-21.319126,141.22092,-45.191372,12.982234,-15.099156,0.6370392,-10.174448,1.4834216,-10.346389,0.015663806,-7.537273,1.40837,-6.9857893,gunshot
-19.07274,138.37593,-43.53779,14.479367,-15.070732,0.7549281,-11.260656,0.79575324,-9.347132,-0.9138323,-8.1367655,0.5503087,-6.921915,gunshot
-16.029354,140.4438,-44.817783,13.6894245,-14.101757,-0.6470348,-14.231608,1.0157146,-11.846847,-2.105998,-7.5680623,0.48988318,-7.522888,gunshot
34.240402,102.70694,-33.269726,3.4950686,-11.778698,-3.621805,-11.303093,-3.4609716,-10.586287,-2.2995558,-6.032194,0.64503884,-5.484155,gunshot
9.050978,121.58045,-33.7924,6.0232964,-15.880704,-3.0722325,-11.8904085,-3.1785545,-11.59661,-3.690601,-7.9590273,-1.1239643,-7.6570277,gunshot
-13.718455,136.15675,-36.24869,3.8879194,-24.938208,-9.856929,-14.420127,-2.1391516,-13.790872,-6.814802,-10.064437,0.5990771,-8.53951,gunshot
-4.72129,131.01761,-36.60134,-0.042056628,-24.697357,-9.785241,-12.709739,-3.2484033,-14.993037,-6.1034265,-9.156126,0.18277422,-8.865096,gunshot
5.144205,122.12399,-38.895676,-1.6394438,-25.65675,-10.672536,-13.527797,-4.3549085,-13.970957,-6.7349105,-9.534983,-0.17515452,-9.239643,gunshot
